subject_order,subject,category,question_number,difficulty,question,option_a,option_b,option_c,option_d,correct_option
23,Evolutionary Biology,Science,50,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,51,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,52,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,53,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,54,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,55,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,56,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,57,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,58,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,59,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,60,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,61,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,62,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,63,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,64,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,65,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,66,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,67,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,68,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,69,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,70,Easy,"[Easy] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,71,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,72,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,73,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,74,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,75,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,76,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,77,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,78,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,79,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,80,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,81,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,82,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,83,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,84,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,85,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,86,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,87,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,88,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,89,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,90,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,91,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,92,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,93,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,94,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,95,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,96,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,97,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,98,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,99,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,100,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,101,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,102,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,103,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,104,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,105,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,106,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,107,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,108,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,109,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,110,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,111,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,112,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,113,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,114,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,115,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,116,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,117,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,118,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,119,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,120,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,121,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,122,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,123,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,124,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,125,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,126,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,127,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,128,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,129,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,130,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,131,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,132,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,133,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,134,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,135,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,136,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,137,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,138,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,139,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,140,Medium,"[Medium] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,141,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,142,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,143,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,144,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,145,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,146,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,147,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,148,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,149,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,150,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,151,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,152,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,153,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,154,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,155,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,156,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,157,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,158,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,159,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,160,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,161,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,162,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,163,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,164,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,165,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,166,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,167,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,168,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,169,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,170,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,171,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,172,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,173,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,174,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,175,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,176,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,177,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,178,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,179,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,180,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,181,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,182,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,183,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,184,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,185,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,186,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,187,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,188,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,189,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,190,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,191,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,192,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,193,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,194,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,195,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,196,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
23,Evolutionary Biology,Science,197,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
23,Evolutionary Biology,Science,198,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
23,Evolutionary Biology,Science,199,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Coulomb (C),Watt (W),Pascal (Pa),Joule (J),D
23,Evolutionary Biology,Science,200,Hard,"[Hard] In Evolutionary Biology, what is the SI unit of energy used in most quantitative analyses?",Joule (J),Watt (W),Pascal (Pa),Coulomb (C),A
24,Microbiology,Science,1,Easy,"[Easy] In Microbiology, what is the SI unit of energy used in most quantitative analyses?",Watt (W),Joule (J),Pascal (Pa),Coulomb (C),B
24,Microbiology,Science,2,Easy,"[Easy] In Microbiology, what is the SI unit of energy used in most quantitative analyses?",Pascal (Pa),Watt (W),Joule (J),Coulomb (C),C
